Airline,AirlineID,Source,Destination,Route,Total_Stops,DepartureDatetime,ArrivalDatetime,DurationMinutes,DayOfWeek,IsWeekend,Price
Jet Airways,4,DEL,COK,DEL-COK,1,6/3/2019 7:05,6/3/2019 19:00,715,0,0,14924
Multiple carriers,6,DEL,COK,DEL-COK,1,5/21/2019 7:05,5/21/2019 18:10,665,1,0,9646
Air India,1,BLR,DEL,BLR-DEL,1,3/15/2019 6:45,3/15/2019 15:15,510,4,0,8714
Jet Airways,4,DEL,COK,DEL-COK,1,5/18/2019 20:55,5/18/2019 19:00,1325,5,1,12373
Air Asia,0,BLR,DEL,BLR-DEL,0,5/6/2019 11:10,5/6/2019 13:55,165,0,0,3383
Multiple carriers,6,DEL,COK,DEL-COK,1,3/21/2019 9:00,3/21/2019 21:00,720,3,0,13062
SpiceJet,8,BLR,DEL,BLR-DEL,0,3/24/2019 5:45,3/24/2019 8:35,170,6,1,3527
IndiGo,3,BLR,DEL,BLR-DEL,0,5/27/2019 4:00,5/27/2019 6:50,170,0,0,3943
Air India,1,MAA,CCU,MAA-CCU,0,5/3/2019 11:40,5/3/2019 13:55,135,4,0,4667
Air India,1,CCU,BLR,CCU-BLR,1,5/15/2019 19:00,5/15/2019 11:05,965,2,0,6117
Jet Airways,4,DEL,COK,DEL-COK,2,6/27/2019 23:05,6/27/2019 19:00,1195,3,0,11150
Jet Airways,4,DEL,COK,DEL-COK,0,3/9/2019 11:00,3/9/2019 14:15,195,5,1,7202
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/1/2019 9:35,5/1/2019 10:55,1520,2,0,12121
IndiGo,3,BLR,DEL,BLR-DEL,0,3/24/2019 22:20,3/24/2019 1:10,170,6,1,4377
IndiGo,3,BLR,DEL,BLR-DEL,0,6/18/2019 21:15,6/18/2019 0:15,180,1,0,3943
Air Asia,0,BLR,DEL,BLR-DEL,0,4/3/2019 23:55,4/3/2019 2:45,170,2,0,4483
Jet Airways,4,CCU,BLR,CCU-BLR,1,3/24/2019 19:45,3/24/2019 12:00,975,6,1,14231
Air India,1,BLR,DEL,BLR-DEL,2,3/1/2019 8:50,3/1/2019 23:55,905,4,0,17345
Vistara,10,MAA,CCU,MAA-CCU,0,3/6/2019 7:05,3/6/2019 9:20,135,2,0,7414
Multiple carriers,6,DEL,COK,DEL-COK,1,5/6/2019 19:00,5/6/2019 1:30,390,0,0,8073
Vistara,10,BOM,HYD,BOM-HYD,1,3/6/2019 15:40,3/6/2019 16:45,1505,2,0,12395
Air India,1,CCU,BLR,CCU-BLR,1,6/6/2019 9:25,6/6/2019 21:50,745,3,0,8366
Air India,1,DEL,COK,DEL-COK,1,4/3/2019 6:05,4/3/2019 9:25,1640,2,0,5117
Multiple carriers,6,DEL,COK,DEL-COK,1,6/3/2019 8:45,6/3/2019 19:00,615,0,0,12524
IndiGo,3,DEL,COK,DEL-COK,1,5/15/2019 15:00,5/15/2019 1:30,630,2,0,7191
Vistara,10,MAA,CCU,MAA-CCU,0,5/24/2019 7:05,5/24/2019 9:20,135,4,0,3687
IndiGo,3,DEL,COK,DEL-COK,1,6/24/2019 10:35,6/24/2019 21:00,625,0,0,5894
Vistara,10,BLR,DEL,BLR-DEL,0,4/24/2019 9:45,4/24/2019 12:35,170,2,0,5403
Air India,1,BOM,HYD,BOM-HYD,0,5/6/2019 13:55,5/6/2019 15:25,90,0,0,3625
Air India,1,DEL,COK,DEL-COK,2,5/21/2019 5:55,5/21/2019 19:15,800,1,0,10861
IndiGo,3,MAA,CCU,MAA-CCU,0,3/12/2019 13:20,3/12/2019 15:35,135,1,0,6297
Jet Airways,4,BOM,HYD,BOM-HYD,0,6/1/2019 7:05,6/1/2019 8:30,85,5,1,5678
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/9/2019 5:45,3/9/2019 8:15,1590,5,1,9134
Multiple carriers,6,DEL,COK,DEL-COK,1,6/24/2019 11:40,6/24/2019 19:00,440,0,0,10791
Jet Airways,4,DEL,COK,DEL-COK,2,6/24/2019 23:05,6/24/2019 12:35,810,0,0,12819
IndiGo,3,DEL,COK,DEL-COK,1,3/21/2019 5:05,3/21/2019 10:05,300,3,0,6893
Vistara,10,BLR,DEL,BLR-DEL,0,3/9/2019 9:50,3/9/2019 12:35,165,5,1,7240
GoAir,2,BLR,DEL,BLR-DEL,0,4/3/2019 11:40,4/3/2019 14:30,170,2,0,3898
IndiGo,3,BOM,HYD,BOM-HYD,0,4/3/2019 6:25,4/3/2019 7:55,90,2,0,4049
Jet Airways,4,DEL,COK,DEL-COK,1,6/15/2019 17:30,6/15/2019 12:35,1145,5,1,10262
SpiceJet,8,MAA,CCU,MAA-CCU,0,3/21/2019 8:20,3/21/2019 10:35,135,3,0,3332
Jet Airways,4,CCU,BLR,CCU-BLR,1,6/9/2019 21:10,6/9/2019 12:00,890,6,1,10844
Jet Airways,4,BLR,DEL,BLR-DEL,0,3/24/2019 19:55,3/24/2019 22:35,160,6,1,7229
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/6/2019 6:30,5/6/2019 4:40,1330,0,0,13941
IndiGo,3,DEL,COK,DEL-COK,1,6/27/2019 11:25,6/27/2019 21:00,575,3,0,5894
Multiple carriers,6,DEL,COK,DEL-COK,1,5/18/2019 9:00,5/18/2019 19:00,600,5,1,10197
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/6/2019 14:05,3/6/2019 11:25,1280,2,0,13712
IndiGo,3,DEL,COK,DEL-COK,1,6/24/2019 2:00,6/24/2019 7:25,325,0,0,5636
Jet Airways,4,DEL,COK,DEL-COK,2,6/6/2019 9:40,6/6/2019 4:25,1125,3,0,13014
Jet Airways,4,CCU,BLR,CCU-BLR,1,4/1/2019 8:25,4/1/2019 20:45,740,0,0,7064
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/24/2019 20:25,5/24/2019 14:25,1080,4,0,10703
Multiple carriers,6,DEL,COK,DEL-COK,1,5/27/2019 13:15,5/27/2019 22:30,555,0,0,9646
Multiple carriers,6,DEL,COK,DEL-COK,1,3/6/2019 2:15,3/6/2019 13:20,665,2,0,17057
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/12/2019 16:55,3/12/2019 10:25,1050,1,0,13817
Air India,1,DEL,COK,DEL-COK,2,3/6/2019 5:55,3/6/2019 19:15,800,2,0,13748
Air India,1,CCU,BLR,CCU-BLR,0,4/21/2019 20:45,4/21/2019 23:20,155,6,1,4880
IndiGo,3,MAA,CCU,MAA-CCU,0,6/21/2019 5:15,6/21/2019 7:40,145,4,0,3540
SpiceJet,8,BLR,DEL,BLR-DEL,0,5/15/2019 5:55,5/15/2019 8:35,160,2,0,3257
Jet Airways,4,BLR,DEL,BLR-DEL,0,6/3/2019 19:50,6/3/2019 22:50,180,0,0,6478
Jet Airways,4,BOM,HYD,BOM-HYD,0,6/18/2019 7:05,6/18/2019 8:30,85,1,0,8040
Jet Airways,4,DEL,COK,DEL-COK,2,6/12/2019 20:00,6/12/2019 12:35,995,2,0,14300
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/15/2019 8:25,5/15/2019 20:45,740,2,0,14781
Jet Airways,4,CCU,BLR,CCU-BLR,1,6/9/2019 20:00,6/9/2019 8:15,735,6,1,14939
Jet Airways,4,DEL,COK,DEL-COK,1,6/24/2019 20:55,6/24/2019 4:25,450,0,0,10262
Air India,1,CCU,BLR,CCU-BLR,1,5/12/2019 14:35,5/12/2019 14:35,1440,6,1,6528
Air India,1,BLR,DEL,BLR-DEL,0,5/1/2019 6:10,5/1/2019 8:55,165,2,0,6121
Jet Airways,4,DEL,COK,DEL-COK,2,5/18/2019 19:30,5/18/2019 4:25,535,5,1,13029
Multiple carriers,6,DEL,COK,DEL-COK,1,3/27/2019 11:40,3/27/2019 18:50,430,2,0,11421
Multiple carriers,6,DEL,COK,DEL-COK,1,3/27/2019 4:45,3/27/2019 19:15,870,2,0,7574
Air India,1,DEL,COK,DEL-COK,2,5/9/2019 12:55,5/9/2019 19:15,1820,3,0,11596
Jet Airways,4,DEL,COK,DEL-COK,2,5/24/2019 23:05,5/24/2019 19:00,1195,4,0,15129
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/18/2019 14:05,3/18/2019 5:05,900,0,0,13555
IndiGo,3,BLR,DEL,BLR-DEL,0,4/12/2019 18:55,4/12/2019 21:50,175,4,0,5780
Vistara,10,CCU,BLR,CCU-BLR,1,5/12/2019 20:20,5/12/2019 9:05,765,6,1,9397
Jet Airways,4,DEL,COK,DEL-COK,1,3/6/2019 18:15,3/6/2019 4:25,610,2,0,17024
GoAir,2,DEL,COK,DEL-COK,1,6/27/2019 7:00,6/27/2019 12:55,355,3,0,5281
Multiple carriers,6,DEL,COK,DEL-COK,1,5/18/2019 7:05,5/18/2019 22:30,925,5,1,10348
Air India,1,DEL,COK,DEL-COK,1,3/6/2019 17:20,3/6/2019 9:25,965,2,0,12677
Multiple carriers,6,DEL,COK,DEL-COK,1,3/3/2019 15:25,3/3/2019 1:35,610,6,1,15147
Vistara,10,BLR,DEL,BLR-DEL,0,6/12/2019 7:00,6/12/2019 9:40,160,2,0,4668
Jet Airways,4,DEL,COK,DEL-COK,1,5/9/2019 7:05,5/9/2019 19:00,715,3,0,15554
SpiceJet,8,BLR,DEL,BLR-DEL,0,4/9/2019 5:55,4/9/2019 8:35,160,1,0,3971
Air India,1,BOM,HYD,BOM-HYD,0,5/3/2019 15:00,5/3/2019 16:25,85,4,0,3100
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/6/2019 20:00,5/6/2019 10:05,845,0,0,9663
Air India,1,DEL,COK,DEL-COK,1,3/1/2019 23:00,3/1/2019 19:15,1215,4,0,27430
IndiGo,3,MAA,CCU,MAA-CCU,0,5/12/2019 5:15,5/12/2019 7:40,145,6,1,3540
Air India,1,CCU,BLR,CCU-BLR,2,5/21/2019 12:00,5/21/2019 11:10,1390,1,0,10676
Jet Airways,4,CCU,BLR,CCU-BLR,1,6/12/2019 14:05,6/12/2019 8:15,1090,2,0,13044
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/6/2019 20:00,5/6/2019 12:00,960,0,0,14388
IndiGo,3,BLR,DEL,BLR-DEL,0,6/24/2019 4:00,6/24/2019 6:50,170,0,0,3943
IndiGo,3,MAA,CCU,MAA-CCU,0,6/3/2019 14:45,6/3/2019 17:05,140,0,0,3597
Air India,1,BLR,DEL,BLR-DEL,1,3/21/2019 11:50,3/21/2019 19:50,480,3,0,5932
Jet Airways,4,DEL,COK,DEL-COK,1,6/15/2019 11:30,6/15/2019 4:25,1015,5,1,10262
Vistara,10,DEL,COK,DEL-COK,0,5/12/2019 14:40,5/12/2019 17:50,190,6,1,6216
IndiGo,3,CCU,BLR,CCU-BLR,0,6/15/2019 20:25,6/15/2019 23:10,165,5,1,4804
Multiple carriers,6,DEL,COK,DEL-COK,1,5/21/2019 11:30,5/21/2019 1:30,840,1,0,14067
Jet Airways,4,DEL,COK,DEL-COK,2,5/18/2019 19:10,5/18/2019 19:00,1430,5,1,15129
Jet Airways,4,DEL,COK,DEL-COK,2,6/6/2019 6:45,6/6/2019 4:25,1300,3,0,13376
Air India,1,DEL,COK,DEL-COK,2,6/27/2019 22:00,6/27/2019 19:15,1275,3,0,10441
Jet Airways,4,BLR,DEL,BLR-DEL,0,5/24/2019 6:00,5/24/2019 8:45,165,4,0,4030
Jet Airways,4,DEL,COK,DEL-COK,1,3/3/2019 8:00,3/3/2019 18:50,650,6,1,17024
Multiple carriers,6,DEL,COK,DEL-COK,1,4/9/2019 17:30,4/9/2019 1:30,480,1,0,13017
GoAir,2,CCU,BLR,CCU-BLR,1,6/6/2019 23:30,6/6/2019 7:45,495,3,0,6686
IndiGo,3,DEL,COK,DEL-COK,1,6/15/2019 2:00,6/15/2019 7:25,325,5,1,5636
IndiGo,3,DEL,COK,DEL-COK,1,6/9/2019 7:35,6/9/2019 16:10,515,6,1,6442
Multiple carriers,6,DEL,COK,DEL-COK,1,5/21/2019 13:05,5/21/2019 0:55,710,1,0,9486
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/21/2019 20:00,5/21/2019 23:35,1655,1,0,10844
Jet Airways,4,DEL,COK,DEL-COK,2,6/3/2019 20:00,6/3/2019 4:25,505,0,0,15318
Air India,1,DEL,COK,DEL-COK,1,4/3/2019 12:30,4/3/2019 9:25,1255,2,0,5117
IndiGo,3,DEL,COK,DEL-COK,1,6/24/2019 15:10,6/24/2019 20:00,290,0,0,6147
Multiple carriers,6,DEL,COK,DEL-COK,1,6/9/2019 12:50,6/9/2019 21:00,490,6,1,7005
SpiceJet,8,CCU,BLR,CCU-BLR,0,4/3/2019 22:20,4/3/2019 0:40,140,2,0,3873
Jet Airways,4,DEL,COK,DEL-COK,2,3/21/2019 18:25,3/21/2019 18:50,1465,3,0,9270
GoAir,2,BLR,DEL,BLR-DEL,0,6/27/2019 11:40,6/27/2019 14:30,170,3,0,3898
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/12/2019 8:25,5/12/2019 20:45,740,6,1,14781
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/24/2019 20:00,5/24/2019 8:15,735,4,0,8586
Air India,1,CCU,BLR,CCU-BLR,2,5/9/2019 8:20,5/9/2019 7:55,1415,3,0,10697
Jet Airways,4,DEL,COK,DEL-COK,2,6/27/2019 20:00,6/27/2019 12:35,995,3,0,14300
IndiGo,3,BLR,DEL,BLR-DEL,0,3/3/2019 18:55,3/3/2019 21:45,170,6,1,8855
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/12/2019 16:30,5/12/2019 18:15,1545,6,1,10844
Jet Airways,4,DEL,COK,DEL-COK,1,3/6/2019 2:15,3/6/2019 4:25,1570,2,0,17024
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/1/2019 9:35,5/1/2019 14:25,1730,2,0,9314
IndiGo,3,BLR,DEL,BLR-DEL,0,3/24/2019 0:40,3/24/2019 3:25,165,6,1,4777
Air India,1,CCU,BLR,CCU-BLR,1,6/9/2019 12:00,6/9/2019 13:15,1515,6,1,7662
IndiGo,3,DEL,COK,DEL-COK,1,5/9/2019 6:50,5/9/2019 16:10,560,3,0,6442
SpiceJet,8,DEL,COK,DEL-COK,1,6/12/2019 8:45,6/12/2019 13:15,270,2,0,5264
Jet Airways,4,DEL,COK,DEL-COK,1,5/27/2019 13:00,5/27/2019 4:25,925,0,0,12898
Air India,1,BOM,HYD,BOM-HYD,0,3/3/2019 13:55,3/3/2019 15:25,90,6,1,6092
SpiceJet,8,BLR,DEL,BLR-DEL,0,5/21/2019 5:55,5/21/2019 8:35,160,1,0,3311
Jet Airways,4,DEL,COK,DEL-COK,1,3/27/2019 19:15,3/27/2019 4:25,550,2,0,6540
IndiGo,3,BLR,DEL,BLR-DEL,0,5/27/2019 1:30,5/27/2019 4:15,165,0,0,3419
Jet Airways,4,DEL,COK,DEL-COK,1,4/3/2019 14:00,4/3/2019 12:35,1355,2,0,5177
Air India,1,DEL,COK,DEL-COK,0,4/18/2019 18:05,4/18/2019 21:10,185,3,0,8246
Jet Airways,4,CCU,BLR,CCU-BLR,1,6/9/2019 9:35,6/9/2019 21:05,690,6,1,14676
Multiple carriers,6,DEL,COK,DEL-COK,1,6/27/2019 11:30,6/27/2019 21:00,570,3,0,13587
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/6/2019 21:10,5/6/2019 9:20,730,0,0,9663
Jet Airways,4,CCU,BLR,CCU-BLR,1,6/12/2019 16:30,6/12/2019 10:05,1055,2,0,13044
IndiGo,3,DEL,COK,DEL-COK,1,4/3/2019 20:25,4/3/2019 1:30,305,2,0,5073
Vistara,10,CCU,BLR,CCU-BLR,1,5/21/2019 17:00,5/21/2019 18:50,1550,1,0,9345
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/6/2019 14:05,5/6/2019 10:05,1200,0,0,9663
Multiple carriers,6,DEL,COK,DEL-COK,1,5/21/2019 8:00,5/21/2019 21:00,780,1,0,14277
Jet Airways,4,DEL,COK,DEL-COK,1,6/1/2019 10:00,6/1/2019 4:25,1105,5,1,10262
Jet Airways,4,BOM,HYD,BOM-HYD,0,3/27/2019 19:35,3/27/2019 21:05,90,2,0,5678
Multiple carriers,6,DEL,COK,DEL-COK,1,5/15/2019 16:00,5/15/2019 1:30,570,2,0,13727
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/6/2019 20:00,5/6/2019 12:00,960,0,0,9663
IndiGo,3,MAA,CCU,MAA-CCU,0,5/12/2019 14:45,5/12/2019 17:05,140,6,1,3858
SpiceJet,8,DEL,COK,DEL-COK,1,6/24/2019 8:45,6/24/2019 13:15,270,0,0,4812
IndiGo,3,DEL,COK,DEL-COK,1,6/27/2019 21:50,6/27/2019 3:35,345,3,0,5775
Jet Airways,4,CCU,BLR,CCU-BLR,1,6/6/2019 9:35,6/6/2019 9:45,1450,3,0,10539
IndiGo,3,CCU,BLR,CCU-BLR,0,6/3/2019 15:30,6/3/2019 18:05,155,0,0,4804
Air Asia,0,BLR,DEL,BLR-DEL,0,6/12/2019 11:10,6/12/2019 13:55,165,2,0,3383
IndiGo,3,BLR,DEL,BLR-DEL,1,3/3/2019 12:10,3/3/2019 17:05,295,6,1,8738
Air India,1,DEL,COK,DEL-COK,1,3/27/2019 5:15,3/27/2019 6:50,1535,2,0,7165
IndiGo,3,DEL,COK,DEL-COK,1,6/24/2019 16:10,6/24/2019 22:30,380,0,0,6412
Jet Airways,4,BLR,DEL,BLR-DEL,0,6/27/2019 18:55,6/27/2019 22:00,185,3,0,8016
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/12/2019 20:35,3/12/2019 15:15,1120,1,0,11087
SpiceJet,8,MAA,CCU,MAA-CCU,0,6/27/2019 9:45,6/27/2019 12:00,135,3,0,3543
Jet Airways,4,CCU,BLR,CCU-BLR,1,6/12/2019 16:30,6/12/2019 4:40,730,2,0,12471
Jet Airways,4,DEL,COK,DEL-COK,1,6/24/2019 9:00,6/24/2019 4:25,1165,0,0,10262
Air India,1,BLR,DEL,BLR-DEL,0,3/18/2019 13:20,3/18/2019 16:10,170,0,0,4441
Multiple carriers,6,DEL,COK,DEL-COK,1,3/27/2019 7:05,3/27/2019 15:30,505,2,0,12537
GoAir,2,CCU,BLR,CCU-BLR,1,3/24/2019 22:25,3/24/2019 7:40,555,6,1,10091
Air India,1,BLR,DEL,BLR-DEL,0,6/3/2019 21:05,6/3/2019 23:55,170,0,0,6961
IndiGo,3,DEL,COK,DEL-COK,0,4/24/2019 5:35,4/24/2019 8:50,195,2,0,5013
Air India,1,DEL,COK,DEL-COK,0,5/18/2019 5:10,5/18/2019 8:00,170,5,1,6934
Multiple carriers,6,DEL,COK,DEL-COK,1,6/3/2019 6:40,6/3/2019 19:00,740,0,0,10877
Jet Airways,4,BLR,DEL,BLR-DEL,0,4/18/2019 15:15,4/18/2019 18:10,175,3,0,7229
IndiGo,3,DEL,COK,DEL-COK,1,3/27/2019 16:00,3/27/2019 1:35,575,2,0,7048
Vistara,10,BLR,DEL,BLR-DEL,0,6/27/2019 17:00,6/27/2019 19:35,155,3,0,4878
Jet Airways,4,CCU,BLR,CCU-BLR,1,5/21/2019 14:05,5/21/2019 23:35,570,1,0,10844
Jet Airways,4,DEL,COK,DEL-COK,2,5/18/2019 23:05,5/18/2019 4:25,1760,5,1,15129
IndiGo,3,BLR,DEL,BLR-DEL,0,5/12/2019 0:30,5/12/2019 3:25,175,6,1,3943
SpiceJet,8,DEL,COK,DEL-COK,1,6/6/2019 6:05,6/6/2019 11:20,315,3,0,5583
Multiple carriers,6,DEL,COK,DEL-COK,1,6/6/2019 7:05,6/6/2019 16:10,545,3,0,9646
Multiple carriers,6,DEL,COK,DEL-COK,1,6/3/2019 8:30,6/3/2019 19:15,645,0,0,7677
IndiGo,3,DEL,COK,DEL-COK,1,6/1/2019 5:10,6/1/2019 10:05,295,5,1,6842
Jet Airways,4,BOM,HYD,BOM-HYD,0,6/24/2019 8:45,6/24/2019 10:15,90,0,0,4995
Vistara,10,CCU,BLR,CCU-BLR,1,6/9/2019 7:10,6/9/2019 18:50,700,6,1,9555
IndiGo,3,BLR,DEL,BLR-DEL,0,6/1/2019 1:30,6/1/2019 4:15,165,5,1,4077
Jet Airways,4,BLR,DEL,BLR-DEL,0,5/12/2019 15:15,5/12/2019 18:10,175,6,1,7229
Multiple carriers,6,DEL,COK,DEL-COK,1,6/9/2019 9:00,6/9/2019 19:00,600,6,1,12192
Air India,1,BLR,DEL,BLR-DEL,0,4/12/2019 10:00,4/12/2019 12:45,165,4,0,5911
Air India,1,DEL,COK,DEL-COK,1,6/12/2019 9:00,6/12/2019 19:15,615,2,0,8372
Jet Airways,4,BOM,HYD,BOM-HYD,0,3/18/2019 7:10,3/18/2019 8:35,85,0,0,4995
Multiple carriers,6,DEL,COK,DEL-COK,1,5/9/2019 10:00,5/9/2019 19:15,555,3,0,14323
Jet Airways,4,DEL,COK,DEL-COK,2,6/9/2019 5:30,6/9/2019 4:25,1375,6,1,13014
Air India,1,DEL,COK,DEL-COK,2,6/6/2019 14:25,6/6/2019 19:15,1730,3,0,13591
Jet Airways,4,DEL,COK,DEL-COK,2,3/3/2019 5:25,3/3/2019 18:50,2245,6,1,18799
IndiGo,3,BLR,DEL,BLR-DEL,0,4/27/2019 23:30,4/27/2019 2:20,170,5,1,3943
SpiceJet,8,BOM,HYD,BOM-HYD,0,5/21/2019 5:45,5/21/2019 7:15,90,1,0,1965
Jet Airways,4,BOM,HYD,BOM-HYD,0,5/27/2019 10:20,5/27/2019 11:50,90,0,0,4995
Air India,1,CCU,BLR,CCU-BLR,1,3/24/2019 16:50,3/24/2019 18:30,1540,6,1,14641
Air India,1,CCU,BLR,CCU-BLR,0,4/12/2019 20:45,4/12/2019 23:20,155,4,0,4460
Air India,1,DEL,COK,DEL-COK,1,5/18/2019 13:00,5/18/2019 19:15,375,5,1,10191
Jet Airways,4,DEL,COK,DEL-COK,1,3/9/2019 2:15,3/9/2019 19:45,1050,5,1,13843
IndiGo,3,DEL,COK,DEL-COK,1,5/1/2019 21:50,5/1/2019 3:35,345,2,0,6349
Air Asia,0,CCU,BLR,CCU-BLR,0,5/1/2019 10:20,5/1/2019 12:55,155,2,0,4409
Jet Airways,4,DEL,COK,DEL-COK,1,3/6/2019 18:15,3/6/2019 19:45,1530,2,0,17024
Multiple carriers,6,DEL,COK,DEL-COK,1,5/18/2019 7:05,5/18/2019 21:00,835,5,1,13727
IndiGo,3,BLR,DEL,BLR-DEL,0,3/15/2019 18:25,3/15/2019 21:20,175,4,0,8855
Multiple carriers,6,DEL,COK,DEL-COK,1,6/24/2019 8:45,6/24/2019 19:00,615,0,0,12524
Jet Airways,4,BLR,DEL,BLR-DEL,1,3/18/2019 11:40,3/18/2019 20:20,520,0,0,13555
Jet Airways,4,CCU,BLR,CCU-BLR,1,6/6/2019 6:30,6/6/2019 12:00,330,3,0,10844
Multiple carriers,6,DEL,COK,DEL-COK,1,6/9/2019 9:00,6/9/2019 21:00,720,6,1,13587
SpiceJet,8,MAA,CCU,MAA-CCU,0,6/12/2019 9:45,6/12/2019 12:00,135,2,0,3543
Vistara,10,MAA,CCU,MAA-CCU,0,3/18/2019 7:05,3/18/2019 9:20,135,0,0,4842
