Airline,AirlineID,Source,Destination,Route,Total_Stops,DepartureDatetime,ArrivalDatetime,DurationMinutes,DayOfWeek,IsWeekend,Price
Vistara,10,MAA,CCU,MAA-CCU,0,2019-06-15 07:05:00,2019-06-15 09:20:00,135,5,1,3687
Vistara,10,MAA,CCU,MAA-CCU,0,2019-06-18 07:05:00,2019-06-18 09:20:00,135,1,0,3687
Air India,1,CCU,BLR,CCU-BLR,2,2019-05-01 09:50:00,2019-05-01 23:15:00,805,2,0,13227
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-04-06 04:00:00,2019-04-06 06:50:00,170,5,1,4423
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-15 14:35:00,2019-06-15 12:35:00,1320,5,1,10919
Jet Airways,4,DEL,COK,DEL-COK,1,2019-05-18 07:05:00,2019-05-18 12:35:00,330,5,1,12373
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-27 10:35:00,2019-06-27 21:00:00,625,3,0,5894
SpiceJet,8,CCU,BLR,CCU-BLR,1,2019-05-21 15:05:00,2019-05-21 20:20:00,315,1,0,4649
Air India,1,CCU,BLR,CCU-BLR,0,2019-05-18 14:15:00,2019-05-18 16:45:00,150,5,1,6245
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-06 07:00:00,2019-03-06 13:15:00,375,2,0,19225
Jet Airways,4,DEL,COK,DEL-COK,1,2019-06-03 07:05:00,2019-06-03 19:00:00,715,0,0,14924
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-21 07:05:00,2019-05-21 18:10:00,665,1,0,9646
Air India,1,BLR,DEL,BLR-DEL,1,2019-03-15 06:45:00,2019-03-15 15:15:00,510,4,0,8714
Jet Airways,4,DEL,COK,DEL-COK,1,2019-05-18 20:55:00,2019-05-18 19:00:00,1325,5,1,12373
Air Asia,0,BLR,DEL,BLR-DEL,0,2019-05-06 11:10:00,2019-05-06 13:55:00,165,0,0,3383
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-03-21 09:00:00,2019-03-21 21:00:00,720,3,0,13062
SpiceJet,8,BLR,DEL,BLR-DEL,0,2019-03-24 05:45:00,2019-03-24 08:35:00,170,6,1,3527
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-05-27 04:00:00,2019-05-27 06:50:00,170,0,0,3943
Air India,1,MAA,CCU,MAA-CCU,0,2019-05-03 11:40:00,2019-05-03 13:55:00,135,4,0,4667
Air India,1,CCU,BLR,CCU-BLR,1,2019-05-15 19:00:00,2019-05-15 11:05:00,965,2,0,6117
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-27 23:05:00,2019-06-27 19:00:00,1195,3,0,11150
Jet Airways,4,DEL,COK,DEL-COK,0,2019-03-09 11:00:00,2019-03-09 14:15:00,195,5,1,7202
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-01 09:35:00,2019-05-01 10:55:00,1520,2,0,12121
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-03-24 22:20:00,2019-03-24 01:10:00,170,6,1,4377
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-06-18 21:15:00,2019-06-18 00:15:00,180,1,0,3943
Air Asia,0,BLR,DEL,BLR-DEL,0,2019-04-03 23:55:00,2019-04-03 02:45:00,170,2,0,4483
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-03-24 19:45:00,2019-03-24 12:00:00,975,6,1,14231
Air India,1,BLR,DEL,BLR-DEL,2,2019-03-01 08:50:00,2019-03-01 23:55:00,905,4,0,17345
Vistara,10,MAA,CCU,MAA-CCU,0,2019-03-06 07:05:00,2019-03-06 09:20:00,135,2,0,7414
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-06 19:00:00,2019-05-06 01:30:00,390,0,0,8073
Vistara,10,BOM,HYD,BOM-HYD,1,2019-03-06 15:40:00,2019-03-06 16:45:00,1505,2,0,12395
Air India,1,CCU,BLR,CCU-BLR,1,2019-06-06 09:25:00,2019-06-06 21:50:00,745,3,0,8366
Air India,1,DEL,COK,DEL-COK,1,2019-04-03 06:05:00,2019-04-03 09:25:00,1640,2,0,5117
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-06-03 08:45:00,2019-06-03 19:00:00,615,0,0,12524
IndiGo,3,DEL,COK,DEL-COK,1,2019-05-15 15:00:00,2019-05-15 01:30:00,630,2,0,7191
Vistara,10,MAA,CCU,MAA-CCU,0,2019-05-24 07:05:00,2019-05-24 09:20:00,135,4,0,3687
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-24 10:35:00,2019-06-24 21:00:00,625,0,0,5894
Vistara,10,BLR,DEL,BLR-DEL,0,2019-04-24 09:45:00,2019-04-24 12:35:00,170,2,0,5403
Air India,1,BOM,HYD,BOM-HYD,0,2019-05-06 13:55:00,2019-05-06 15:25:00,90,0,0,3625
Air India,1,DEL,COK,DEL-COK,2,2019-05-21 05:55:00,2019-05-21 19:15:00,800,1,0,10861
IndiGo,3,MAA,CCU,MAA-CCU,0,2019-03-12 13:20:00,2019-03-12 15:35:00,135,1,0,6297
Jet Airways,4,BOM,HYD,BOM-HYD,0,2019-06-01 07:05:00,2019-06-01 08:30:00,85,5,1,5678
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-09 05:45:00,2019-03-09 08:15:00,1590,5,1,9134
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-06-24 11:40:00,2019-06-24 19:00:00,440,0,0,10791
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-24 23:05:00,2019-06-24 12:35:00,810,0,0,12819
IndiGo,3,DEL,COK,DEL-COK,1,2019-03-21 05:05:00,2019-03-21 10:05:00,300,3,0,6893
Vistara,10,BLR,DEL,BLR-DEL,0,2019-03-09 09:50:00,2019-03-09 12:35:00,165,5,1,7240
GoAir,2,BLR,DEL,BLR-DEL,0,2019-04-03 11:40:00,2019-04-03 14:30:00,170,2,0,3898
IndiGo,3,BOM,HYD,BOM-HYD,0,2019-04-03 06:25:00,2019-04-03 07:55:00,90,2,0,4049
Jet Airways,4,DEL,COK,DEL-COK,1,2019-06-15 17:30:00,2019-06-15 12:35:00,1145,5,1,10262
SpiceJet,8,MAA,CCU,MAA-CCU,0,2019-03-21 08:20:00,2019-03-21 10:35:00,135,3,0,3332
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-06-09 21:10:00,2019-06-09 12:00:00,890,6,1,10844
Jet Airways,4,BLR,DEL,BLR-DEL,0,2019-03-24 19:55:00,2019-03-24 22:35:00,160,6,1,7229
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-06 06:30:00,2019-05-06 04:40:00,1330,0,0,13941
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-27 11:25:00,2019-06-27 21:00:00,575,3,0,5894
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-18 09:00:00,2019-05-18 19:00:00,600,5,1,10197
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-06 14:05:00,2019-03-06 11:25:00,1280,2,0,13712
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-24 02:00:00,2019-06-24 07:25:00,325,0,0,5636
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-06 09:40:00,2019-06-06 04:25:00,1125,3,0,13014
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-04-01 08:25:00,2019-04-01 20:45:00,740,0,0,7064
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-24 20:25:00,2019-05-24 14:25:00,1080,4,0,10703
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-27 13:15:00,2019-05-27 22:30:00,555,0,0,9646
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-03-06 02:15:00,2019-03-06 13:20:00,665,2,0,17057
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-12 16:55:00,2019-03-12 10:25:00,1050,1,0,13817
Air India,1,DEL,COK,DEL-COK,2,2019-03-06 05:55:00,2019-03-06 19:15:00,800,2,0,13748
Air India,1,CCU,BLR,CCU-BLR,0,2019-04-21 20:45:00,2019-04-21 23:20:00,155,6,1,4880
IndiGo,3,MAA,CCU,MAA-CCU,0,2019-06-21 05:15:00,2019-06-21 07:40:00,145,4,0,3540
SpiceJet,8,BLR,DEL,BLR-DEL,0,2019-05-15 05:55:00,2019-05-15 08:35:00,160,2,0,3257
Jet Airways,4,BLR,DEL,BLR-DEL,0,2019-06-03 19:50:00,2019-06-03 22:50:00,180,0,0,6478
Jet Airways,4,BOM,HYD,BOM-HYD,0,2019-06-18 07:05:00,2019-06-18 08:30:00,85,1,0,8040
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-12 20:00:00,2019-06-12 12:35:00,995,2,0,14300
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-15 08:25:00,2019-05-15 20:45:00,740,2,0,14781
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-06-09 20:00:00,2019-06-09 08:15:00,735,6,1,14939
Jet Airways,4,DEL,COK,DEL-COK,1,2019-06-24 20:55:00,2019-06-24 04:25:00,450,0,0,10262
Air India,1,CCU,BLR,CCU-BLR,1,2019-05-12 14:35:00,2019-05-12 14:35:00,1440,6,1,6528
Air India,1,BLR,DEL,BLR-DEL,0,2019-05-01 06:10:00,2019-05-01 08:55:00,165,2,0,6121
Jet Airways,4,DEL,COK,DEL-COK,2,2019-05-18 19:30:00,2019-05-18 04:25:00,535,5,1,13029
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-03-27 11:40:00,2019-03-27 18:50:00,430,2,0,11421
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-03-27 04:45:00,2019-03-27 19:15:00,870,2,0,7574
Air India,1,DEL,COK,DEL-COK,2,2019-05-09 12:55:00,2019-05-09 19:15:00,1820,3,0,11596
Jet Airways,4,DEL,COK,DEL-COK,2,2019-05-24 23:05:00,2019-05-24 19:00:00,1195,4,0,15129
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-18 14:05:00,2019-03-18 05:05:00,900,0,0,13555
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-04-12 18:55:00,2019-04-12 21:50:00,175,4,0,5780
Vistara,10,CCU,BLR,CCU-BLR,1,2019-05-12 20:20:00,2019-05-12 09:05:00,765,6,1,9397
Jet Airways,4,DEL,COK,DEL-COK,1,2019-03-06 18:15:00,2019-03-06 04:25:00,610,2,0,17024
GoAir,2,DEL,COK,DEL-COK,1,2019-06-27 07:00:00,2019-06-27 12:55:00,355,3,0,5281
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-18 07:05:00,2019-05-18 22:30:00,925,5,1,10348
Air India,1,DEL,COK,DEL-COK,1,2019-03-06 17:20:00,2019-03-06 09:25:00,965,2,0,12677
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-03-03 15:25:00,2019-03-03 01:35:00,610,6,1,15147
Vistara,10,BLR,DEL,BLR-DEL,0,2019-06-12 07:00:00,2019-06-12 09:40:00,160,2,0,4668
Jet Airways,4,DEL,COK,DEL-COK,1,2019-05-09 07:05:00,2019-05-09 19:00:00,715,3,0,15554
SpiceJet,8,BLR,DEL,BLR-DEL,0,2019-04-09 05:55:00,2019-04-09 08:35:00,160,1,0,3971
Air India,1,BOM,HYD,BOM-HYD,0,2019-05-03 15:00:00,2019-05-03 16:25:00,85,4,0,3100
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-06 20:00:00,2019-05-06 10:05:00,845,0,0,9663
Air India,1,DEL,COK,DEL-COK,1,2019-03-01 23:00:00,2019-03-01 19:15:00,1215,4,0,27430
IndiGo,3,MAA,CCU,MAA-CCU,0,2019-05-12 05:15:00,2019-05-12 07:40:00,145,6,1,3540
Air India,1,CCU,BLR,CCU-BLR,2,2019-05-21 12:00:00,2019-05-21 11:10:00,1390,1,0,10676
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-06-12 14:05:00,2019-06-12 08:15:00,1090,2,0,13044
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-06 20:00:00,2019-05-06 12:00:00,960,0,0,14388
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-06-24 04:00:00,2019-06-24 06:50:00,170,0,0,3943
IndiGo,3,MAA,CCU,MAA-CCU,0,2019-06-03 14:45:00,2019-06-03 17:05:00,140,0,0,3597
Air India,1,BLR,DEL,BLR-DEL,1,2019-03-21 11:50:00,2019-03-21 19:50:00,480,3,0,5932
Jet Airways,4,DEL,COK,DEL-COK,1,2019-06-15 11:30:00,2019-06-15 04:25:00,1015,5,1,10262
Vistara,10,DEL,COK,DEL-COK,0,2019-05-12 14:40:00,2019-05-12 17:50:00,190,6,1,6216
IndiGo,3,CCU,BLR,CCU-BLR,0,2019-06-15 20:25:00,2019-06-15 23:10:00,165,5,1,4804
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-21 11:30:00,2019-05-21 01:30:00,840,1,0,14067
Jet Airways,4,DEL,COK,DEL-COK,2,2019-05-18 19:10:00,2019-05-18 19:00:00,1430,5,1,15129
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-06 06:45:00,2019-06-06 04:25:00,1300,3,0,13376
Air India,1,DEL,COK,DEL-COK,2,2019-06-27 22:00:00,2019-06-27 19:15:00,1275,3,0,10441
Jet Airways,4,BLR,DEL,BLR-DEL,0,2019-05-24 06:00:00,2019-05-24 08:45:00,165,4,0,4030
Jet Airways,4,DEL,COK,DEL-COK,1,2019-03-03 08:00:00,2019-03-03 18:50:00,650,6,1,17024
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-04-09 17:30:00,2019-04-09 01:30:00,480,1,0,13017
GoAir,2,CCU,BLR,CCU-BLR,1,2019-06-06 23:30:00,2019-06-06 07:45:00,495,3,0,6686
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-15 02:00:00,2019-06-15 07:25:00,325,5,1,5636
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-09 07:35:00,2019-06-09 16:10:00,515,6,1,6442
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-21 13:05:00,2019-05-21 00:55:00,710,1,0,9486
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-21 20:00:00,2019-05-21 23:35:00,1655,1,0,10844
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-03 20:00:00,2019-06-03 04:25:00,505,0,0,15318
Air India,1,DEL,COK,DEL-COK,1,2019-04-03 12:30:00,2019-04-03 09:25:00,1255,2,0,5117
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-24 15:10:00,2019-06-24 20:00:00,290,0,0,6147
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-06-09 12:50:00,2019-06-09 21:00:00,490,6,1,7005
SpiceJet,8,CCU,BLR,CCU-BLR,0,2019-04-03 22:20:00,2019-04-03 00:40:00,140,2,0,3873
Jet Airways,4,DEL,COK,DEL-COK,2,2019-03-21 18:25:00,2019-03-21 18:50:00,1465,3,0,9270
GoAir,2,BLR,DEL,BLR-DEL,0,2019-06-27 11:40:00,2019-06-27 14:30:00,170,3,0,3898
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-12 08:25:00,2019-05-12 20:45:00,740,6,1,14781
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-24 20:00:00,2019-05-24 08:15:00,735,4,0,8586
Air India,1,CCU,BLR,CCU-BLR,2,2019-05-09 08:20:00,2019-05-09 07:55:00,1415,3,0,10697
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-27 20:00:00,2019-06-27 12:35:00,995,3,0,14300
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-03-03 18:55:00,2019-03-03 21:45:00,170,6,1,8855
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-12 16:30:00,2019-05-12 18:15:00,1545,6,1,10844
Jet Airways,4,DEL,COK,DEL-COK,1,2019-03-06 02:15:00,2019-03-06 04:25:00,1570,2,0,17024
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-01 09:35:00,2019-05-01 14:25:00,1730,2,0,9314
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-03-24 00:40:00,2019-03-24 03:25:00,165,6,1,4777
Air India,1,CCU,BLR,CCU-BLR,1,2019-06-09 12:00:00,2019-06-09 13:15:00,1515,6,1,7662
IndiGo,3,DEL,COK,DEL-COK,1,2019-05-09 06:50:00,2019-05-09 16:10:00,560,3,0,6442
SpiceJet,8,DEL,COK,DEL-COK,1,2019-06-12 08:45:00,2019-06-12 13:15:00,270,2,0,5264
Jet Airways,4,DEL,COK,DEL-COK,1,2019-05-27 13:00:00,2019-05-27 04:25:00,925,0,0,12898
Air India,1,BOM,HYD,BOM-HYD,0,2019-03-03 13:55:00,2019-03-03 15:25:00,90,6,1,6092
SpiceJet,8,BLR,DEL,BLR-DEL,0,2019-05-21 05:55:00,2019-05-21 08:35:00,160,1,0,3311
Jet Airways,4,DEL,COK,DEL-COK,1,2019-03-27 19:15:00,2019-03-27 04:25:00,550,2,0,6540
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-05-27 01:30:00,2019-05-27 04:15:00,165,0,0,3419
Jet Airways,4,DEL,COK,DEL-COK,1,2019-04-03 14:00:00,2019-04-03 12:35:00,1355,2,0,5177
Air India,1,DEL,COK,DEL-COK,0,2019-04-18 18:05:00,2019-04-18 21:10:00,185,3,0,8246
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-06-09 09:35:00,2019-06-09 21:05:00,690,6,1,14676
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-06-27 11:30:00,2019-06-27 21:00:00,570,3,0,13587
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-06 21:10:00,2019-05-06 09:20:00,730,0,0,9663
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-06-12 16:30:00,2019-06-12 10:05:00,1055,2,0,13044
IndiGo,3,DEL,COK,DEL-COK,1,2019-04-03 20:25:00,2019-04-03 01:30:00,305,2,0,5073
Vistara,10,CCU,BLR,CCU-BLR,1,2019-05-21 17:00:00,2019-05-21 18:50:00,1550,1,0,9345
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-06 14:05:00,2019-05-06 10:05:00,1200,0,0,9663
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-21 08:00:00,2019-05-21 21:00:00,780,1,0,14277
Jet Airways,4,DEL,COK,DEL-COK,1,2019-06-01 10:00:00,2019-06-01 04:25:00,1105,5,1,10262
Jet Airways,4,BOM,HYD,BOM-HYD,0,2019-03-27 19:35:00,2019-03-27 21:05:00,90,2,0,5678
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-15 16:00:00,2019-05-15 01:30:00,570,2,0,13727
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-06 20:00:00,2019-05-06 12:00:00,960,0,0,9663
IndiGo,3,MAA,CCU,MAA-CCU,0,2019-05-12 14:45:00,2019-05-12 17:05:00,140,6,1,3858
SpiceJet,8,DEL,COK,DEL-COK,1,2019-06-24 08:45:00,2019-06-24 13:15:00,270,0,0,4812
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-27 21:50:00,2019-06-27 03:35:00,345,3,0,5775
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-06-06 09:35:00,2019-06-06 09:45:00,1450,3,0,10539
IndiGo,3,CCU,BLR,CCU-BLR,0,2019-06-03 15:30:00,2019-06-03 18:05:00,155,0,0,4804
Air Asia,0,BLR,DEL,BLR-DEL,0,2019-06-12 11:10:00,2019-06-12 13:55:00,165,2,0,3383
IndiGo,3,BLR,DEL,BLR-DEL,1,2019-03-03 12:10:00,2019-03-03 17:05:00,295,6,1,8738
Air India,1,DEL,COK,DEL-COK,1,2019-03-27 05:15:00,2019-03-27 06:50:00,1535,2,0,7165
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-24 16:10:00,2019-06-24 22:30:00,380,0,0,6412
Jet Airways,4,BLR,DEL,BLR-DEL,0,2019-06-27 18:55:00,2019-06-27 22:00:00,185,3,0,8016
Jet Airways,4,BLR,DEL,BLR-DEL,1,2019-03-12 20:35:00,2019-03-12 15:15:00,1120,1,0,11087
SpiceJet,8,MAA,CCU,MAA-CCU,0,2019-06-27 09:45:00,2019-06-27 12:00:00,135,3,0,3543
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-06-12 16:30:00,2019-06-12 04:40:00,730,2,0,12471
Jet Airways,4,DEL,COK,DEL-COK,1,2019-06-24 09:00:00,2019-06-24 04:25:00,1165,0,0,10262
Air India,1,BLR,DEL,BLR-DEL,0,2019-03-18 13:20:00,2019-03-18 16:10:00,170,0,0,4441
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-03-27 07:05:00,2019-03-27 15:30:00,505,2,0,12537
GoAir,2,CCU,BLR,CCU-BLR,1,2019-03-24 22:25:00,2019-03-24 07:40:00,555,6,1,10091
Air India,1,BLR,DEL,BLR-DEL,0,2019-06-03 21:05:00,2019-06-03 23:55:00,170,0,0,6961
IndiGo,3,DEL,COK,DEL-COK,0,2019-04-24 05:35:00,2019-04-24 08:50:00,195,2,0,5013
Air India,1,DEL,COK,DEL-COK,0,2019-05-18 05:10:00,2019-05-18 08:00:00,170,5,1,6934
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-06-03 06:40:00,2019-06-03 19:00:00,740,0,0,10877
Jet Airways,4,BLR,DEL,BLR-DEL,0,2019-04-18 15:15:00,2019-04-18 18:10:00,175,3,0,7229
IndiGo,3,DEL,COK,DEL-COK,1,2019-03-27 16:00:00,2019-03-27 01:35:00,575,2,0,7048
Vistara,10,BLR,DEL,BLR-DEL,0,2019-06-27 17:00:00,2019-06-27 19:35:00,155,3,0,4878
Jet Airways,4,CCU,BLR,CCU-BLR,1,2019-05-21 14:05:00,2019-05-21 23:35:00,570,1,0,10844
Jet Airways,4,DEL,COK,DEL-COK,2,2019-05-18 23:05:00,2019-05-18 04:25:00,1760,5,1,15129
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-05-12 00:30:00,2019-05-12 03:25:00,175,6,1,3943
SpiceJet,8,DEL,COK,DEL-COK,1,2019-06-06 06:05:00,2019-06-06 11:20:00,315,3,0,5583
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-06-06 07:05:00,2019-06-06 16:10:00,545,3,0,9646
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-06-03 08:30:00,2019-06-03 19:15:00,645,0,0,7677
IndiGo,3,DEL,COK,DEL-COK,1,2019-06-01 05:10:00,2019-06-01 10:05:00,295,5,1,6842
Jet Airways,4,BOM,HYD,BOM-HYD,0,2019-06-24 08:45:00,2019-06-24 10:15:00,90,0,0,4995
Vistara,10,CCU,BLR,CCU-BLR,1,2019-06-09 07:10:00,2019-06-09 18:50:00,700,6,1,9555
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-06-01 01:30:00,2019-06-01 04:15:00,165,5,1,4077
Jet Airways,4,BLR,DEL,BLR-DEL,0,2019-05-12 15:15:00,2019-05-12 18:10:00,175,6,1,7229
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-06-09 09:00:00,2019-06-09 19:00:00,600,6,1,12192
Air India,1,BLR,DEL,BLR-DEL,0,2019-04-12 10:00:00,2019-04-12 12:45:00,165,4,0,5911
Air India,1,DEL,COK,DEL-COK,1,2019-06-12 09:00:00,2019-06-12 19:15:00,615,2,0,8372
Jet Airways,4,BOM,HYD,BOM-HYD,0,2019-03-18 07:10:00,2019-03-18 08:35:00,85,0,0,4995
Multiple carriers,6,DEL,COK,DEL-COK,1,2019-05-09 10:00:00,2019-05-09 19:15:00,555,3,0,14323
Jet Airways,4,DEL,COK,DEL-COK,2,2019-06-09 05:30:00,2019-06-09 04:25:00,1375,6,1,13014
Air India,1,DEL,COK,DEL-COK,2,2019-06-06 14:25:00,2019-06-06 19:15:00,1730,3,0,13591
Jet Airways,4,DEL,COK,DEL-COK,2,2019-03-03 05:25:00,2019-03-03 18:50:00,2245,6,1,18799
IndiGo,3,BLR,DEL,BLR-DEL,0,2019-04-27 23:30:00,2019-04-27 02:20:00,170,5,1,3943
