airline,airlineid,source,destination,route,total_stops,departuredatetime,arrivaldatetime,durationminutes,dayofweek,isweekend,price,Total_Stops,DepartureHour,DepartureDay,DepartureMonth,DepartureWeekday,IsWeekend,DaysUntilDeparture,price_min,price_max,price_avg,Label
1,1,4,3,DEL-COK,1,2019-06-01 09:45:00,2019-06-01 23:00:00,0.25852782764811494,5,1,8907,1,0.3913043478260869,1,6,5,1,92,3876,52285,10539.014103129131,1
3,3,2,0,CCU-BLR,0,2019-04-18 20:20:00,2019-04-18 22:55:00,0.02872531418312388,3,0,4174,0,0.8695652173913043,18,4,3,0,48,3480,31945,9158.164693593315,1
1,1,6,2,MAA-CCU,0,2019-06-24 11:40:00,2019-06-24 13:55:00,0.02154398563734291,0,0,4667,0,0.4782608695652174,24,6,0,0,115,3145,19630,4788.0837696335075,0
4,4,2,0,CCU-BLR,1,2019-05-09 21:10:00,2019-05-09 09:20:00,0.23518850987432677,3,0,9663,1,0.9130434782608695,9,5,3,0,69,3480,31945,9158.164693593315,0
3,3,2,0,CCU-BLR,0,2019-04-24 17:15:00,2019-04-24 19:50:00,0.02872531418312388,2,0,4804,0,0.7391304347826086,24,4,2,0,54,3480,31945,9158.164693593315,1
1,1,4,3,DEL-COK,2,2019-03-03 16:40:00,2019-03-03 19:15:00,0.5457809694793537,6,1,14011,2,0.6956521739130435,3,3,6,1,2,3876,52285,10539.014103129131,0
8,8,4,3,DEL-COK,1,2019-04-15 08:45:00,2019-04-15 13:15:00,0.07001795332136446,0,0,5830,1,0.34782608695652173,15,4,0,0,45,3876,52285,10539.014103129131,1
4,4,4,3,DEL-COK,1,2019-06-12 14:00:00,2019-06-12 12:35:00,0.45960502692998206,2,0,10262,1,0.6086956521739131,12,6,2,0,103,3876,52285,10539.014103129131,0
1,1,4,3,DEL-COK,2,2019-06-12 20:15:00,2019-06-12 19:15:00,0.4685816876122083,2,0,13381,2,0.8695652173913043,12,6,2,0,103,3876,52285,10539.014103129131,0
4,4,4,3,DEL-COK,1,2019-05-27 16:00:00,2019-05-27 12:35:00,0.4165170556552963,0,0,12898,1,0.6956521739130435,27,5,0,0,87,3876,52285,10539.014103129131,0
2,2,4,3,DEL-COK,1,2019-03-06 14:10:00,2019-03-06 19:20:00,0.0843806104129264,2,0,19495,1,0.6086956521739131,6,3,2,0,5,3876,52285,10539.014103129131,0
1,1,0,4,BLR-DEL,1,2019-03-21 22:00:00,2019-03-21 13:20:00,0.303411131059246,3,0,6955,1,0.9565217391304348,21,3,3,0,20,3257,79512,8017.424021838035,1
3,3,0,4,BLR-DEL,0,2019-04-03 04:00:00,2019-04-03 06:50:00,0.03411131059245961,2,0,3943,0,0.17391304347826086,3,4,2,0,33,3257,79512,8017.424021838035,1
3,3,0,4,BLR-DEL,0,2019-05-01 18:55:00,2019-05-01 21:50:00,0.035906642728904856,2,0,4823,0,0.7826086956521738,1,5,2,0,61,3257,79512,8017.424021838035,1
4,4,2,0,CCU-BLR,1,2019-05-06 18:55:00,2019-05-06 08:15:00,0.26032315978456017,0,0,7757,1,0.7826086956521738,6,5,0,0,66,3480,31945,9158.164693593315,1
4,4,4,3,DEL-COK,2,2019-06-09 21:25:00,2019-06-09 12:35:00,0.2998204667863555,6,1,13292,2,0.9130434782608695,9,6,6,1,100,3876,52285,10539.014103129131,0
3,3,4,3,DEL-COK,1,2019-06-01 21:50:00,2019-06-01 03:35:00,0.0969479353680431,5,1,8238,1,0.9130434782608695,1,6,5,1,92,3876,52285,10539.014103129131,1
2,2,4,3,DEL-COK,1,2019-05-15 07:00:00,2019-05-15 12:55:00,0.10053859964093358,2,0,7682,1,0.30434782608695654,15,5,2,0,75,3876,52285,10539.014103129131,1
10,10,0,4,BLR-DEL,0,2019-06-18 09:45:00,2019-06-18 12:35:00,0.03411131059245961,1,0,4668,0,0.3913043478260869,18,6,1,0,109,3257,79512,8017.424021838035,1
10,10,6,2,MAA-CCU,0,2019-06-15 07:05:00,2019-06-15 09:20:00,0.02154398563734291,5,1,3687,0,0.30434782608695654,15,6,5,1,106,3145,19630,4788.0837696335075,1
10,10,6,2,MAA-CCU,0,2019-06-18 07:05:00,2019-06-18 09:20:00,0.02154398563734291,1,0,3687,0,0.30434782608695654,18,6,1,0,109,3145,19630,4788.0837696335075,1
1,1,2,0,CCU-BLR,2,2019-05-01 09:50:00,2019-05-01 23:15:00,0.2621184919210054,2,0,13227,2,0.3913043478260869,1,5,2,0,61,3480,31945,9158.164693593315,0
3,3,0,4,BLR-DEL,0,2019-04-06 04:00:00,2019-04-06 06:50:00,0.03411131059245961,5,1,4423,0,0.17391304347826086,6,4,5,1,36,3257,79512,8017.424021838035,1
4,4,4,3,DEL-COK,2,2019-06-15 14:35:00,2019-06-15 12:35:00,0.4470377019748654,5,1,10919,2,0.6086956521739131,15,6,5,1,106,3876,52285,10539.014103129131,0
4,4,4,3,DEL-COK,1,2019-05-18 07:05:00,2019-05-18 12:35:00,0.09156193895870737,5,1,12373,1,0.30434782608695654,18,5,5,1,78,3876,52285,10539.014103129131,0
3,3,4,3,DEL-COK,1,2019-06-27 10:35:00,2019-06-27 21:00:00,0.19748653500897667,3,0,5894,1,0.43478260869565216,27,6,3,0,118,3876,52285,10539.014103129131,1
8,8,2,0,CCU-BLR,1,2019-05-21 15:05:00,2019-05-21 20:20:00,0.08617594254937164,1,0,4649,1,0.6521739130434783,21,5,1,0,81,3480,31945,9158.164693593315,1
1,1,2,0,CCU-BLR,0,2019-05-18 14:15:00,2019-05-18 16:45:00,0.026929982046678638,5,1,6245,0,0.6086956521739131,18,5,5,1,78,3480,31945,9158.164693593315,1
4,4,0,4,BLR-DEL,1,2019-03-06 07:00:00,2019-03-06 13:15:00,0.10771992818671454,2,0,19225,1,0.30434782608695654,6,3,2,0,5,3257,79512,8017.424021838035,0
4,4,4,3,DEL-COK,1,2019-06-03 07:05:00,2019-06-03 19:00:00,0.22980251346499103,0,0,14924,1,0.30434782608695654,3,6,0,0,94,3876,52285,10539.014103129131,0
6,6,4,3,DEL-COK,1,2019-05-21 07:05:00,2019-05-21 18:10:00,0.2118491921005386,1,0,9646,1,0.30434782608695654,21,5,1,0,81,3876,52285,10539.014103129131,0
1,1,0,4,BLR-DEL,1,2019-03-15 06:45:00,2019-03-15 15:15:00,0.15619389587073612,4,0,8714,1,0.2608695652173913,15,3,4,0,14,3257,79512,8017.424021838035,0
4,4,4,3,DEL-COK,1,2019-05-18 20:55:00,2019-05-18 19:00:00,0.44883303411131065,5,1,12373,1,0.8695652173913043,18,5,5,1,78,3876,52285,10539.014103129131,0
0,0,0,4,BLR-DEL,0,2019-05-06 11:10:00,2019-05-06 13:55:00,0.03231597845601437,0,0,3383,0,0.4782608695652174,6,5,0,0,66,3257,79512,8017.424021838035,1
6,6,4,3,DEL-COK,1,2019-03-21 09:00:00,2019-03-21 21:00:00,0.23159784560143631,3,0,13062,1,0.3913043478260869,21,3,3,0,20,3876,52285,10539.014103129131,0
8,8,0,4,BLR-DEL,0,2019-03-24 05:45:00,2019-03-24 08:35:00,0.03411131059245961,6,1,3527,0,0.21739130434782608,24,3,6,1,23,3257,79512,8017.424021838035,1
3,3,0,4,BLR-DEL,0,2019-05-27 04:00:00,2019-05-27 06:50:00,0.03411131059245961,0,0,3943,0,0.17391304347826086,27,5,0,0,87,3257,79512,8017.424021838035,1
1,1,6,2,MAA-CCU,0,2019-05-03 11:40:00,2019-05-03 13:55:00,0.02154398563734291,4,0,4667,0,0.4782608695652174,3,5,4,0,63,3145,19630,4788.0837696335075,0
1,1,2,0,CCU-BLR,1,2019-05-15 19:00:00,2019-05-15 11:05:00,0.31956912028725315,2,0,6117,1,0.8260869565217391,15,5,2,0,75,3480,31945,9158.164693593315,1
4,4,4,3,DEL-COK,2,2019-06-27 23:05:00,2019-06-27 19:00:00,0.4021543985637343,3,0,11150,2,1.0,27,6,3,0,118,3876,52285,10539.014103129131,0
4,4,4,3,DEL-COK,0,2019-03-09 11:00:00,2019-03-09 14:15:00,0.04308797127468582,5,1,7202,0,0.4782608695652174,9,3,5,1,8,3876,52285,10539.014103129131,1
4,4,2,0,CCU-BLR,1,2019-05-01 09:35:00,2019-05-01 10:55:00,0.5188509874326751,2,0,12121,1,0.3913043478260869,1,5,2,0,61,3480,31945,9158.164693593315,0
3,3,0,4,BLR-DEL,0,2019-03-24 22:20:00,2019-03-24 01:10:00,0.03411131059245961,6,1,4377,0,0.9565217391304348,24,3,6,1,23,3257,79512,8017.424021838035,1
3,3,0,4,BLR-DEL,0,2019-06-18 21:15:00,2019-06-18 00:15:00,0.037701974865350096,1,0,3943,0,0.9130434782608695,18,6,1,0,109,3257,79512,8017.424021838035,1
0,0,0,4,BLR-DEL,0,2019-04-03 23:55:00,2019-04-03 02:45:00,0.03411131059245961,2,0,4483,0,1.0,3,4,2,0,33,3257,79512,8017.424021838035,1
4,4,2,0,CCU-BLR,1,2019-03-24 19:45:00,2019-03-24 12:00:00,0.32315978456014366,6,1,14231,1,0.8260869565217391,24,3,6,1,23,3480,31945,9158.164693593315,0
1,1,0,4,BLR-DEL,2,2019-03-01 08:50:00,2019-03-01 23:55:00,0.29802513464991026,4,0,17345,2,0.34782608695652173,1,3,4,0,0,3257,79512,8017.424021838035,0
10,10,6,2,MAA-CCU,0,2019-03-06 07:05:00,2019-03-06 09:20:00,0.02154398563734291,2,0,7414,0,0.30434782608695654,6,3,2,0,5,3145,19630,4788.0837696335075,0
6,6,4,3,DEL-COK,1,2019-05-06 19:00:00,2019-05-06 01:30:00,0.11310592459605028,0,0,8073,1,0.8260869565217391,6,5,0,0,66,3876,52285,10539.014103129131,1
10,10,1,5,BOM-HYD,1,2019-03-06 15:40:00,2019-03-06 16:45:00,0.5134649910233393,2,0,12395,1,0.6521739130434783,6,3,2,0,5,1759,25139,5059.187679083095,0
1,1,2,0,CCU-BLR,1,2019-06-06 09:25:00,2019-06-06 21:50:00,0.2405745062836625,3,0,8366,1,0.3913043478260869,6,6,3,0,97,3480,31945,9158.164693593315,0
1,1,4,3,DEL-COK,1,2019-04-03 06:05:00,2019-04-03 09:25:00,0.5619389587073609,2,0,5117,1,0.2608695652173913,3,4,2,0,33,3876,52285,10539.014103129131,1
6,6,4,3,DEL-COK,1,2019-06-03 08:45:00,2019-06-03 19:00:00,0.19389587073608616,0,0,12524,1,0.34782608695652173,3,6,0,0,94,3876,52285,10539.014103129131,0
3,3,4,3,DEL-COK,1,2019-05-15 15:00:00,2019-05-15 01:30:00,0.1992818671454219,2,0,7191,1,0.6521739130434783,15,5,2,0,75,3876,52285,10539.014103129131,1
10,10,6,2,MAA-CCU,0,2019-05-24 07:05:00,2019-05-24 09:20:00,0.02154398563734291,4,0,3687,0,0.30434782608695654,24,5,4,0,84,3145,19630,4788.0837696335075,1
3,3,4,3,DEL-COK,1,2019-06-24 10:35:00,2019-06-24 21:00:00,0.19748653500897667,0,0,5894,1,0.43478260869565216,24,6,0,0,115,3876,52285,10539.014103129131,1
10,10,0,4,BLR-DEL,0,2019-04-24 09:45:00,2019-04-24 12:35:00,0.03411131059245961,2,0,5403,0,0.3913043478260869,24,4,2,0,54,3257,79512,8017.424021838035,1
1,1,1,5,BOM-HYD,0,2019-05-06 13:55:00,2019-05-06 15:25:00,0.005385996409335729,0,0,3625,0,0.5652173913043478,6,5,0,0,66,1759,25139,5059.187679083095,1
1,1,4,3,DEL-COK,2,2019-05-21 05:55:00,2019-05-21 19:15:00,0.26032315978456017,1,0,10861,2,0.21739130434782608,21,5,1,0,81,3876,52285,10539.014103129131,0
3,3,6,2,MAA-CCU,0,2019-03-12 13:20:00,2019-03-12 15:35:00,0.02154398563734291,1,0,6297,0,0.5652173913043478,12,3,1,0,11,3145,19630,4788.0837696335075,0
4,4,1,5,BOM-HYD,0,2019-06-01 07:05:00,2019-06-01 08:30:00,0.003590664272890485,5,1,5678,0,0.30434782608695654,1,6,5,1,92,1759,25139,5059.187679083095,0
4,4,0,4,BLR-DEL,1,2019-03-09 05:45:00,2019-03-09 08:15:00,0.5439856373429085,5,1,9134,1,0.21739130434782608,9,3,5,1,8,3257,79512,8017.424021838035,0
6,6,4,3,DEL-COK,1,2019-06-24 11:40:00,2019-06-24 19:00:00,0.13105924596050272,0,0,10791,1,0.4782608695652174,24,6,0,0,115,3876,52285,10539.014103129131,0
4,4,4,3,DEL-COK,2,2019-06-24 23:05:00,2019-06-24 12:35:00,0.2639138240574507,0,0,12819,2,1.0,24,6,0,0,115,3876,52285,10539.014103129131,0
3,3,4,3,DEL-COK,1,2019-03-21 05:05:00,2019-03-21 10:05:00,0.08078994614003591,3,0,6893,1,0.21739130434782608,21,3,3,0,20,3876,52285,10539.014103129131,1
10,10,0,4,BLR-DEL,0,2019-03-09 09:50:00,2019-03-09 12:35:00,0.03231597845601437,5,1,7240,0,0.3913043478260869,9,3,5,1,8,3257,79512,8017.424021838035,0
2,2,0,4,BLR-DEL,0,2019-04-03 11:40:00,2019-04-03 14:30:00,0.03411131059245961,2,0,3898,0,0.4782608695652174,3,4,2,0,33,3257,79512,8017.424021838035,1
3,3,1,5,BOM-HYD,0,2019-04-03 06:25:00,2019-04-03 07:55:00,0.005385996409335729,2,0,4049,0,0.2608695652173913,3,4,2,0,33,1759,25139,5059.187679083095,1
4,4,4,3,DEL-COK,1,2019-06-15 17:30:00,2019-06-15 12:35:00,0.3842010771992819,5,1,10262,1,0.7391304347826086,15,6,5,1,106,3876,52285,10539.014103129131,0
8,8,6,2,MAA-CCU,0,2019-03-21 08:20:00,2019-03-21 10:35:00,0.02154398563734291,3,0,3332,0,0.34782608695652173,21,3,3,0,20,3145,19630,4788.0837696335075,1
4,4,2,0,CCU-BLR,1,2019-06-09 21:10:00,2019-06-09 12:00:00,0.2926391382405745,6,1,10844,1,0.9130434782608695,9,6,6,1,100,3480,31945,9158.164693593315,0
4,4,0,4,BLR-DEL,0,2019-03-24 19:55:00,2019-03-24 22:35:00,0.03052064631956912,6,1,7229,0,0.8260869565217391,24,3,6,1,23,3257,79512,8017.424021838035,0
4,4,2,0,CCU-BLR,1,2019-05-06 06:30:00,2019-05-06 04:40:00,0.4506283662477559,0,0,13941,1,0.2608695652173913,6,5,0,0,66,3480,31945,9158.164693593315,0
3,3,4,3,DEL-COK,1,2019-06-27 11:25:00,2019-06-27 21:00:00,0.17953321364452424,3,0,5894,1,0.4782608695652174,27,6,3,0,118,3876,52285,10539.014103129131,1
6,6,4,3,DEL-COK,1,2019-05-18 09:00:00,2019-05-18 19:00:00,0.18850987432675048,5,1,10197,1,0.3913043478260869,18,5,5,1,78,3876,52285,10539.014103129131,0
4,4,0,4,BLR-DEL,1,2019-03-06 14:05:00,2019-03-06 11:25:00,0.43267504488330344,2,0,13712,1,0.6086956521739131,6,3,2,0,5,3257,79512,8017.424021838035,0
3,3,4,3,DEL-COK,1,2019-06-24 02:00:00,2019-06-24 07:25:00,0.08976660682226212,0,0,5636,1,0.08695652173913043,24,6,0,0,115,3876,52285,10539.014103129131,1
4,4,4,3,DEL-COK,2,2019-06-06 09:40:00,2019-06-06 04:25:00,0.37701974865350096,3,0,13014,2,0.3913043478260869,6,6,3,0,97,3876,52285,10539.014103129131,0
4,4,2,0,CCU-BLR,1,2019-04-01 08:25:00,2019-04-01 20:45:00,0.23877917414721728,0,0,7064,1,0.34782608695652173,1,4,0,0,31,3480,31945,9158.164693593315,1
4,4,2,0,CCU-BLR,1,2019-05-24 20:25:00,2019-05-24 14:25:00,0.36086175942549376,4,0,10703,1,0.8695652173913043,24,5,4,0,84,3480,31945,9158.164693593315,0
6,6,4,3,DEL-COK,1,2019-05-27 13:15:00,2019-05-27 22:30:00,0.17235188509874327,0,0,9646,1,0.5652173913043478,27,5,0,0,87,3876,52285,10539.014103129131,0
6,6,4,3,DEL-COK,1,2019-03-06 02:15:00,2019-03-06 13:20:00,0.2118491921005386,2,0,17057,1,0.08695652173913043,6,3,2,0,5,3876,52285,10539.014103129131,0
4,4,0,4,BLR-DEL,1,2019-03-12 16:55:00,2019-03-12 10:25:00,0.3500897666068223,1,0,13817,1,0.6956521739130435,12,3,1,0,11,3257,79512,8017.424021838035,0
1,1,4,3,DEL-COK,2,2019-03-06 05:55:00,2019-03-06 19:15:00,0.26032315978456017,2,0,13748,2,0.21739130434782608,6,3,2,0,5,3876,52285,10539.014103129131,0
1,1,2,0,CCU-BLR,0,2019-04-21 20:45:00,2019-04-21 23:20:00,0.02872531418312388,6,1,4880,0,0.8695652173913043,21,4,6,1,51,3480,31945,9158.164693593315,1
3,3,6,2,MAA-CCU,0,2019-06-21 05:15:00,2019-06-21 07:40:00,0.02513464991023339,4,0,3540,0,0.21739130434782608,21,6,4,0,112,3145,19630,4788.0837696335075,1
8,8,0,4,BLR-DEL,0,2019-05-15 05:55:00,2019-05-15 08:35:00,0.03052064631956912,2,0,3257,0,0.21739130434782608,15,5,2,0,75,3257,79512,8017.424021838035,1
4,4,0,4,BLR-DEL,0,2019-06-03 19:50:00,2019-06-03 22:50:00,0.037701974865350096,0,0,6478,0,0.8260869565217391,3,6,0,0,94,3257,79512,8017.424021838035,1
4,4,1,5,BOM-HYD,0,2019-06-18 07:05:00,2019-06-18 08:30:00,0.003590664272890485,1,0,8040,0,0.30434782608695654,18,6,1,0,109,1759,25139,5059.187679083095,0
4,4,4,3,DEL-COK,2,2019-06-12 20:00:00,2019-06-12 12:35:00,0.3303411131059246,2,0,14300,2,0.8695652173913043,12,6,2,0,103,3876,52285,10539.014103129131,0
4,4,2,0,CCU-BLR,1,2019-05-15 08:25:00,2019-05-15 20:45:00,0.23877917414721728,2,0,14781,1,0.34782608695652173,15,5,2,0,75,3480,31945,9158.164693593315,0
4,4,2,0,CCU-BLR,1,2019-06-09 20:00:00,2019-06-09 08:15:00,0.236983842010772,6,1,14939,1,0.8695652173913043,9,6,6,1,100,3480,31945,9158.164693593315,0
4,4,4,3,DEL-COK,1,2019-06-24 20:55:00,2019-06-24 04:25:00,0.13464991023339318,0,0,10262,1,0.8695652173913043,24,6,0,0,115,3876,52285,10539.014103129131,0
1,1,2,0,CCU-BLR,1,2019-05-12 14:35:00,2019-05-12 14:35:00,0.49012567324955125,6,1,6528,1,0.6086956521739131,12,5,6,1,72,3480,31945,9158.164693593315,1
1,1,0,4,BLR-DEL,0,2019-05-01 06:10:00,2019-05-01 08:55:00,0.03231597845601437,2,0,6121,0,0.2608695652173913,1,5,2,0,61,3257,79512,8017.424021838035,1
4,4,4,3,DEL-COK,2,2019-05-18 19:30:00,2019-05-18 04:25:00,0.1651705565529623,5,1,13029,2,0.8260869565217391,18,5,5,1,78,3876,52285,10539.014103129131,0
6,6,4,3,DEL-COK,1,2019-03-27 11:40:00,2019-03-27 18:50:00,0.12746858168761221,2,0,11421,1,0.4782608695652174,27,3,2,0,26,3876,52285,10539.014103129131,0
6,6,4,3,DEL-COK,1,2019-03-27 04:45:00,2019-03-27 19:15:00,0.28545780969479356,2,0,7574,1,0.17391304347826086,27,3,2,0,26,3876,52285,10539.014103129131,1
1,1,4,3,DEL-COK,2,2019-05-09 12:55:00,2019-05-09 19:15:00,0.6265709156193896,3,0,11596,2,0.5217391304347826,9,5,3,0,69,3876,52285,10539.014103129131,0
4,4,4,3,DEL-COK,2,2019-05-24 23:05:00,2019-05-24 19:00:00,0.4021543985637343,4,0,15129,2,1.0,24,5,4,0,84,3876,52285,10539.014103129131,0
4,4,0,4,BLR-DEL,1,2019-03-18 14:05:00,2019-03-18 05:05:00,0.29622980251346503,0,0,13555,1,0.6086956521739131,18,3,0,0,17,3257,79512,8017.424021838035,0
3,3,0,4,BLR-DEL,0,2019-04-12 18:55:00,2019-04-12 21:50:00,0.035906642728904856,4,0,5780,0,0.7826086956521738,12,4,4,0,42,3257,79512,8017.424021838035,1
10,10,2,0,CCU-BLR,1,2019-05-12 20:20:00,2019-05-12 09:05:00,0.24775583482944347,6,1,9397,1,0.8695652173913043,12,5,6,1,72,3480,31945,9158.164693593315,0
4,4,4,3,DEL-COK,1,2019-03-06 18:15:00,2019-03-06 04:25:00,0.19210053859964094,2,0,17024,1,0.7826086956521738,6,3,2,0,5,3876,52285,10539.014103129131,0
2,2,4,3,DEL-COK,1,2019-06-27 07:00:00,2019-06-27 12:55:00,0.10053859964093358,3,0,5281,1,0.30434782608695654,27,6,3,0,118,3876,52285,10539.014103129131,1
6,6,4,3,DEL-COK,1,2019-05-18 07:05:00,2019-05-18 22:30:00,0.3052064631956912,5,1,10348,1,0.30434782608695654,18,5,5,1,78,3876,52285,10539.014103129131,0
1,1,4,3,DEL-COK,1,2019-03-06 17:20:00,2019-03-06 09:25:00,0.31956912028725315,2,0,12677,1,0.7391304347826086,6,3,2,0,5,3876,52285,10539.014103129131,0
6,6,4,3,DEL-COK,1,2019-03-03 15:25:00,2019-03-03 01:35:00,0.19210053859964094,6,1,15147,1,0.6521739130434783,3,3,6,1,2,3876,52285,10539.014103129131,0
10,10,0,4,BLR-DEL,0,2019-06-12 07:00:00,2019-06-12 09:40:00,0.03052064631956912,2,0,4668,0,0.30434782608695654,12,6,2,0,103,3257,79512,8017.424021838035,1
4,4,4,3,DEL-COK,1,2019-05-09 07:05:00,2019-05-09 19:00:00,0.22980251346499103,3,0,15554,1,0.30434782608695654,9,5,3,0,69,3876,52285,10539.014103129131,0
8,8,0,4,BLR-DEL,0,2019-04-09 05:55:00,2019-04-09 08:35:00,0.03052064631956912,1,0,3971,0,0.21739130434782608,9,4,1,0,39,3257,79512,8017.424021838035,1
1,1,1,5,BOM-HYD,0,2019-05-03 15:00:00,2019-05-03 16:25:00,0.003590664272890485,4,0,3100,0,0.6521739130434783,3,5,4,0,63,1759,25139,5059.187679083095,1
4,4,2,0,CCU-BLR,1,2019-05-06 20:00:00,2019-05-06 10:05:00,0.2764811490125674,0,0,9663,1,0.8695652173913043,6,5,0,0,66,3480,31945,9158.164693593315,0
1,1,4,3,DEL-COK,1,2019-03-01 23:00:00,2019-03-01 19:15:00,0.4093357271095153,4,0,27430,1,1.0,1,3,4,0,0,3876,52285,10539.014103129131,0
3,3,6,2,MAA-CCU,0,2019-05-12 05:15:00,2019-05-12 07:40:00,0.02513464991023339,6,1,3540,0,0.21739130434782608,12,5,6,1,72,3145,19630,4788.0837696335075,1
1,1,2,0,CCU-BLR,2,2019-05-21 12:00:00,2019-05-21 11:10:00,0.47217235188509876,1,0,10676,2,0.5217391304347826,21,5,1,0,81,3480,31945,9158.164693593315,0
4,4,2,0,CCU-BLR,1,2019-06-12 14:05:00,2019-06-12 08:15:00,0.36445242369838426,2,0,13044,1,0.6086956521739131,12,6,2,0,103,3480,31945,9158.164693593315,0
4,4,2,0,CCU-BLR,1,2019-05-06 20:00:00,2019-05-06 12:00:00,0.3177737881508079,0,0,14388,1,0.8695652173913043,6,5,0,0,66,3480,31945,9158.164693593315,0
3,3,0,4,BLR-DEL,0,2019-06-24 04:00:00,2019-06-24 06:50:00,0.03411131059245961,0,0,3943,0,0.17391304347826086,24,6,0,0,115,3257,79512,8017.424021838035,1
3,3,6,2,MAA-CCU,0,2019-06-03 14:45:00,2019-06-03 17:05:00,0.02333931777378815,0,0,3597,0,0.6086956521739131,3,6,0,0,94,3145,19630,4788.0837696335075,1
1,1,0,4,BLR-DEL,1,2019-03-21 11:50:00,2019-03-21 19:50:00,0.14542190305206465,3,0,5932,1,0.4782608695652174,21,3,3,0,20,3257,79512,8017.424021838035,1
4,4,4,3,DEL-COK,1,2019-06-15 11:30:00,2019-06-15 04:25:00,0.3375224416517056,5,1,10262,1,0.4782608695652174,15,6,5,1,106,3876,52285,10539.014103129131,0
10,10,4,3,DEL-COK,0,2019-05-12 14:40:00,2019-05-12 17:50:00,0.04129263913824058,6,1,6216,0,0.6086956521739131,12,5,6,1,72,3876,52285,10539.014103129131,1
3,3,2,0,CCU-BLR,0,2019-06-15 20:25:00,2019-06-15 23:10:00,0.03231597845601437,5,1,4804,0,0.8695652173913043,15,6,5,1,106,3480,31945,9158.164693593315,1
6,6,4,3,DEL-COK,1,2019-05-21 11:30:00,2019-05-21 01:30:00,0.2746858168761221,1,0,14067,1,0.4782608695652174,21,5,1,0,81,3876,52285,10539.014103129131,0
4,4,4,3,DEL-COK,2,2019-05-18 19:10:00,2019-05-18 19:00:00,0.4865350089766607,5,1,15129,2,0.8260869565217391,18,5,5,1,78,3876,52285,10539.014103129131,0
4,4,4,3,DEL-COK,2,2019-06-06 06:45:00,2019-06-06 04:25:00,0.4398563734290844,3,0,13376,2,0.2608695652173913,6,6,3,0,97,3876,52285,10539.014103129131,0
1,1,4,3,DEL-COK,2,2019-06-27 22:00:00,2019-06-27 19:15:00,0.4308797127468582,3,0,10441,2,0.9565217391304348,27,6,3,0,118,3876,52285,10539.014103129131,0
4,4,0,4,BLR-DEL,0,2019-05-24 06:00:00,2019-05-24 08:45:00,0.03231597845601437,4,0,4030,0,0.2608695652173913,24,5,4,0,84,3257,79512,8017.424021838035,1
4,4,4,3,DEL-COK,1,2019-03-03 08:00:00,2019-03-03 18:50:00,0.20646319569120286,6,1,17024,1,0.34782608695652173,3,3,6,1,2,3876,52285,10539.014103129131,0
6,6,4,3,DEL-COK,1,2019-04-09 17:30:00,2019-04-09 01:30:00,0.14542190305206465,1,0,13017,1,0.7391304347826086,9,4,1,0,39,3876,52285,10539.014103129131,0
2,2,2,0,CCU-BLR,1,2019-06-06 23:30:00,2019-06-06 07:45:00,0.15080789946140039,3,0,6686,1,1.0,6,6,3,0,97,3480,31945,9158.164693593315,1
